title,_id,subject,language,Level
Data and Statistics 02 - Frequency Tables and Dot Plots,4520b3fff6601c1fa877240acc03363a,Math,English,Upper Primary
Data and Statistics 03 - Statistical Questions,4520b3fff6601c1fa877240acc034343,Math,English,Upper Primary
Data and Statistics 04 - Histograms,4520b3fff6601c1fa877240acc034f4b,Math,English,Upper Primary
Data and Statistics 05 - Interpreting Histograms,4520b3fff6601c1fa877240acc0352bd,Math,English,Upper Primary
"Data and Statistics 06 - Statistics Intro: Mean, Median and Mode",4520b3fff6601c1fa877240acc03601b,Math,English,Upper Primary
"Data and Statistics 07 - Finding Mean, Median and Mode",4520b3fff6601c1fa877240acc036fde,Math,English,Upper Primary
Data and Statistics 08 - Using Mean to Find Missing Value,4520b3fff6601c1fa877240acc0378be,Math,English,Upper Primary
Data and Statistics 09 - Median and Range Puzzle,4520b3fff6601c1fa877240acc0382bd,Math,English,Upper Primary
Data and Statistics 10 - Box and Whisker Plots,4520b3fff6601c1fa877240acc0389ef,Math,English,Upper Primary
Data and Statistics 11 - Constructing a Box and Whisker Plot,4520b3fff6601c1fa877240acc03955d,Math,English,Upper Primary
Data and Statistics 12 - Box and Whisker Plot Exercise Example,4520b3fff6601c1fa877240acc03a01f,Math,English,Upper Primary
Data and Statistics 13 - Another Example Constructing Box Plots,4520b3fff6601c1fa877240acc03a545,Math,English,Upper Primary
Data and Statistics 14 - Interpreting Box Plots,4520b3fff6601c1fa877240acc03aa8f,Science,English,Upper Primary
Data and Statistics 15 - Mean Absolute Deviation,4520b3fff6601c1fa877240acc03adeb,Math,English,Upper Primary
Data and Statistics 16 - Mean Absolute Deviation Example,4520b3fff6601c1fa877240acc03b83c,Math,English,Upper Primary
Data and Statistics 17 - Shapes of Distribution,4520b3fff6601c1fa877240acc03bdda,Math,English,Upper Primary
Multiplicacion y Division 09 - Division 1,4520b3fff6601c1fa877240acc03e39d,Math,Spanish,Lower Primary
Multiplicacion y Division 10 - Diferentes maneras de expresar la division,4520b3fff6601c1fa877240acc03e486,Math,Spanish,Lower Primary
Multiplicacion y Division 11 - Ejemplo de problema de division,4520b3fff6601c1fa877240acc03f1f8,Math,Spanish,Lower Primary
Multiplicacion y Division 12 - Ejemplo de problema de multiplicacion,4520b3fff6601c1fa877240acc04006d,Math,Spanish,Lower Primary
Multiplicacion y Division 13 - Multiplicando multiplos de 10,4520b3fff6601c1fa877240acc040d0d,Math,Spanish,Lower Primary
Multiplicacion y Division 14 - Multiplicando 2 digitos por 1 digito,4520b3fff6601c1fa877240acc041b27,Math,Spanish,Lower Primary
Multiplicacion y Division 15 - Multiplicando 3 digitos por 1 digito,4520b3fff6601c1fa877240acc042587,Math,Spanish,Lower Primary
Multiplicacion y Division 16 - Multiplicando 2 digitos por 1 digito con transporte,4520b3fff6601c1fa877240acc042f7b,Math,Spanish,Lower Primary
Multiplicacion y Division 19 - Multiplicando 2 digitos por 2 digitos,4520b3fff6601c1fa877240acc044a39,Math,Spanish,Lower Primary
Multiplicacion y Division 18 - Multiplicando 4 digitos por 1 digito con transporte,4520b3fff6601c1fa877240acc044caa,Math,Spanish,Lower Primary
Multiplicacion y Division 17 - Multiplicando 3 digitos por un digito con transporte,4520b3fff6601c1fa877240acc0451bf,Math,Spanish,Lower Primary
Multiplicacion y Division 20 - Multiplicando 2 digitos por 2 digitos Ejemplo,4520b3fff6601c1fa877240acc045ca9,Math,Spanish,Lower Primary
Multiplicacion y Division 21 - Multiplicacion de numeros de varios digitos,4520b3fff6601c1fa877240acc045cd3,Math,Spanish,Lower Primary
Multiplicacion y Division 22 - Introduccion a las divisiones largas,4520b3fff6601c1fa877240acc046952,Math,Spanish,Lower Primary
Multiplicacion y Division 23 - Introduccion a los sobrantes,4520b3fff6601c1fa877240acc046d2a,Math,Spanish,Lower Primary
Multiplicacion y Division 24 - Ejemplo de division larga con sobrantes,4520b3fff6601c1fa877240acc0473b5,Math,Spanish,Lower Primary
Multiplicacion y Division 25 - Dividiendo entre dos digitos,4520b3fff6601c1fa877240acc048234,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 01 - Introduccion a los numeros negativos,4520b3fff6601c1fa877240acc04b864,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 02 - Numeros negativos en la recta numerica,4520b3fff6601c1fa877240acc04bfb0,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 03 - Ordenando numeros negativos,4520b3fff6601c1fa877240acc04c3c1,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 04 - Sumando numeros negativos,4520b3fff6601c1fa877240acc04cc8e,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 05 - Sumando numeros con signos diferentes,4520b3fff6601c1fa877240acc04db78,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 06 - Sumar y restar numeros negativos,4520b3fff6601c1fa877240acc04e167,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 07 - Restando un negativo = sumando un positivo,4520b3fff6601c1fa877240acc04ecdb,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 08 - Problemas de numeros negativos,4520b3fff6601c1fa877240acc04f9b6,Math,Spanish,Lower Primary
Numeros negativos y valor absoluto 09 - Multiplicando numeros negativos y positivos,4520b3fff6601c1fa877240acc050166,Math,Spanish,Lower Primary
Don Quijote ,4520b3fff6601c1fa877240acc0516ce,Literature,Spanish,Graduate
"Rates, Proportional Relationships, and Ratios 01 - Rate Problems Using Fractions",4520b3fff6601c1fa877240acc051bb7,Math,English,Lower Secondary
"Rates, Proportional Relationships, and Ratios 02 - Unit Cost Problem Using Fractions",4520b3fff6601c1fa877240acc05297b,Math,English,Lower Secondary
"Rates, Proportional Relationships, and Ratios 03 - Finding Average Speed or Rate",4520b3fff6601c1fa877240acc05356a,Literature,English,Lower Secondary
"Rates, Proportional Relationships, and Ratios 04 - Multiple Rates Word Problem",4520b3fff6601c1fa877240acc053a08,Math,English,Lower Secondary
A First Spanish Reader,4520b3fff6601c1fa877240acc054464,Literature,Spanish,Lower Secondary
"Rates, Proportional Relationships, and Ratios 05 - Analyzing and Identifying Proportional Relationships",4520b3fff6601c1fa877240acc054891,Math,English,Lower Secondary
"Rates, Proportional Relationships, and Ratios 06 - Analyzing Proportional Relationships in a Graph",4520b3fff6601c1fa877240acc054b43,Math,English,Lower Secondary
"Rates, Proportional Relationships, and Ratios 07 - Analyzing Proportional Relationships from a Table",4520b3fff6601c1fa877240acc05579d,Math,English,Lower Secondary
Spanish Tales for Beginners,4520b3fff6601c1fa877240acc055c48,Literature,Spanish,Upper Primary
"Rates, Proportional Relationships, and Ratios 08 - Comparing Proportional Relationships",4520b3fff6601c1fa877240acc055d72,Math,English,Lower Secondary
"Rates, Proportional Relationships, and Ratios 09 - Constructing an Equation for a Proportional Relationship",4520b3fff6601c1fa877240acc056107,Math,English,Lower Secondary
Numeros negativos y valor absoluto 10 - Por que un numero negativo por un numero positivo es un numero positivo,4520b3fff6601c1fa877240acc0567e0,Math,Spanish,Upper Primary
"Rates, Proportional Relationships, and Ratios 10 - Writing Proportions",4520b3fff6601c1fa877240acc056e4f,Math,English,Lower Secondary
Numeros negativos y valor absoluto 11 - Sentido intuitivo de multiplicar numeros negativos,4520b3fff6601c1fa877240acc057090,Math,Spanish,Upper Primary
"Rates, Proportional Relationships, and Ratios 11 - Solve a Proportion with an Unknown Variable",4520b3fff6601c1fa877240acc05714b,Math,English,Lower Secondary
Numeros negativos y valor absoluto 12 - Dividiendo numeros positivos y negativos,4520b3fff6601c1fa877240acc057b31,Math,Spanish,Upper Primary
"Rates, Proportional Relationships, and Ratios 12 - Solve a Proportion with an Unknown Variable World Problem",4520b3fff6601c1fa877240acc0584d1,Math,English,Lower Secondary
"Rates, Proportional Relationships, and Ratios 13 - Constructing Equations from Proportions to Solve Problems",4520b3fff6601c1fa877240acc058bb0,Math,English,Lower Secondary
Numeros negativos y valor absoluto 13 - Valor absoluto y rectas numericas,4520b3fff6601c1fa877240acc05933e,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 01 - Adding Negative Numbers,4520b3fff6601c1fa877240acc05992f,Math,English,Lower Secondary
Numeros negativos y valor absoluto 14 - Del valor absoluto mas pequeno al mas grande,4520b3fff6601c1fa877240acc05a3a5,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 02 - Adding Numbers with Different Signs,4520b3fff6601c1fa877240acc05afbd,Math,English,Lower Secondary
Numeros negativos y valor absoluto 15 - Valor absoluto de numeros enteros,4520b3fff6601c1fa877240acc05b87e,Math,Spanish,Upper Primary
Numeros negativos y valor absoluto 16 - Comparando valores absolutos,4520b3fff6601c1fa877240acc05be4f,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 03 - Learn How to Add and Subtract Negative Numbers,4520b3fff6601c1fa877240acc05c5d5,Math,English,Lower Secondary
Numeros negativos y valor absoluto 17 - Problemas de valor absoluto,4520b3fff6601c1fa877240acc05d136,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 04 - Subtracting a Negative = Adding a Positive,4520b3fff6601c1fa877240acc05dd30,Math,English,Lower Secondary
Negative Numbers: Addition and Subtraction 05 - Negative Number Practice,4520b3fff6601c1fa877240acc05eb20,Math,English,Lower Secondary
Negative Numbers: Addition and Subtraction 06 - Even More Negative Number Practice,4520b3fff6601c1fa877240acc05f0a9,Math,English,Lower Secondary
Negative Numbers: Addition and Subtraction 07 - Adding Negative Numbers on Number Line Examples,4520b3fff6601c1fa877240acc0604a4,Math,English,Lower Secondary
Negative Numbers: Addition and Subtraction 08 - Integer Equations to Describe Diagram,4520b3fff6601c1fa877240acc062665,Math,English,Lower Secondary
Negative Numbers: Addition and Subtraction 09 - Interpreting Integer Expressions,4520b3fff6601c1fa877240acc062df6,Math,English,Lower Secondary
Negative Numbers: Addition and Subtraction 10 - Adding Fractions with Different Signs,4520b3fff6601c1fa877240acc0639cc,Math,English,Lower Secondary
"Negative Numbers: Addition and Subtraction 11 - Adding, Subtracting Fractions",4520b3fff6601c1fa877240acc063ac7,Math,English,Lower Secondary
An Elementary Spanish Reader,4520b3fff6601c1fa877240acc0648ce,Literature,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 12 - Negative Number Word Problem,4520b3fff6601c1fa877240acc064e47,Math,English,Lower Secondary
Negative Numbers: Addition and Subtraction 13 - Finding Initial Temperature from Temperature Changes,4520b3fff6601c1fa877240acc0655b2,Math,English,Lower Secondary
Decimales 01- Valor posicional de los decimales,4520b3fff6601c1fa877240acc065ef0,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 14 - Interpreting Negative Number Statements,4520b3fff6601c1fa877240acc0666ea,Math,English,Lower Secondary
Decimales 02 - Escribiendo decimales con palabras,4520b3fff6601c1fa877240acc0670fc,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 15 - Absolute Value as Distance Between Numbers,4520b3fff6601c1fa877240acc067879,Math,English,Lower Secondary
Decimales 03 - Escribiendo decimales con palabras Ejemplo 2,4520b3fff6601c1fa877240acc068222,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 16 - Interpreting Absolute Value as Distance,4520b3fff6601c1fa877240acc06906e,Math,English,Lower Secondary
Decimales 04 - Analisis de los decimales por posicion,4520b3fff6601c1fa877240acc069199,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 17 - Justification for |a - b| = |b - a|,4520b3fff6601c1fa877240acc06989c,Math,English,Lower Secondary
Decimales 05 - Escribiendo decimales para representar cantidades,4520b3fff6601c1fa877240acc069c12,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 18 - Equivalent Expressions with Negative Numbers,4520b3fff6601c1fa877240acc069c7d,Math,English,Lower Secondary
Negative Numbers: Addition and Subtraction 19 - Substitution with Negative Numbers,4520b3fff6601c1fa877240acc069f06,Math,English,Lower Secondary
Decimales 06 - Comparacion de valores por posicion en decimales,4520b3fff6601c1fa877240acc06a9c7,Math,Spanish,Upper Primary
Negative Numbers: Addition and Subtraction 20 - Understanding Variables Representing Integers on a Number Line,4520b3fff6601c1fa877240acc06b5df,Math,English,Lower Secondary
Decimales 07 - Uso del dinero para entender el valor de posicion en decimales,4520b3fff6601c1fa877240acc06bee1,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 01 - Multiplying Positive and Negative Numbers,4520b3fff6601c1fa877240acc06c213,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 02 - Dividing Positive and Negative Numbers,4520b3fff6601c1fa877240acc06d03b,Math,English,Lower Secondary
Decimales 08 - Reagrupando decimales,4520b3fff6601c1fa877240acc06d905,Math,Spanish,Upper Primary
Decimales 09 - Reagrupando decimales Ejemplo 1,4520b3fff6601c1fa877240acc06f158,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 03 - Why a Negative Times a Negative Makes Intuitite Sense,4520b3fff6601c1fa877240acc06f4a0,Math,English,Lower Secondary
Decimales 10 - Reagrupando decimales Ejemplo 2,4520b3fff6601c1fa877240acc06f4c6,Math,Spanish,Upper Primary
Lazarillo de Tormes,4520b3fff6601c1fa877240acc06f786,Literature,Spanish,Lower Secondary
Negative Numbers: Multiplication and Division 04 - Why a Negative Times a Negative is a Positive,4520b3fff6601c1fa877240acc06f95b,Math,English,Lower Secondary
Heath's Modern Language Series: Spanish Short Stories,4520b3fff6601c1fa877240acc06fab8,Literature,Spanish,Lower Secondary
Decimales 11 - Decimales en la recta numerica,4520b3fff6601c1fa877240acc0701d8,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 05 - Interpreting Multiplication and Division of Negative Numbers,4520b3fff6601c1fa877240acc07110e,Math,English,Lower Secondary
Decimales 12 - Decimales y fracciones en la recta numerica,4520b3fff6601c1fa877240acc071849,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 06 - Multiplying Negative and Positive Fractions,4520b3fff6601c1fa877240acc071e4a,Math,English,Lower Secondary
Decimales 13 - Colocando decimales positivos y negativos en la recta numerica,4520b3fff6601c1fa877240acc0724cc,Math,English,Upper Primary
Negative Numbers: Multiplication and Division 07 - Dividing Negative Fractions,4520b3fff6601c1fa877240acc072777,Math,English,Upper Secondary
Negative Numbers: Multiplication and Division 08 - Negative Signs in Numbers,4520b3fff6601c1fa877240acc072800,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 09 - Dividing Mixed Numbers,4520b3fff6601c1fa877240acc073019,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 10 - Making Sense of Hairy Fractions,4520b3fff6601c1fa877240acc073bcd,Math,English,Lower Secondary
Decimales 14 - Comparando decimales Ejemplo 1,4520b3fff6601c1fa877240acc077818,Math,Spanish,Upper Primary
Decimales 15 - Comparando decimales Ejemplo 15,4520b3fff6601c1fa877240acc077aca,Math,Spanish,Upper Primary
Decimales 16 - Comparando decimales Ejemplo 3,4520b3fff6601c1fa877240acc078086,Math,Spanish,Upper Primary
Matematicas Elementales 09 - Valor posicional - Contando del 0 al 19,4520b3fff6601c1fa877240acc0789ab,Math,Spanish,Lower Primary
Matematicas Elementales 10 - Valor posicional - Monos para una fiesta,4520b3fff6601c1fa877240acc07953c,Math,Spanish,Lower Primary
Matematicas Elementales 11 - Introduccion al valor posicional,4520b3fff6601c1fa877240acc0798ce,Math,Spanish,Lower Primary
African Storybooks - Maman Singe et la femme du chasseur,4520b3fff6601c1fa877240acc079f23,Literature,French,Lower Primary
African Storybooks - Anasnsi et Vautour,4520b3fff6601c1fa877240acc07aa9a,Literature,French,Lower Primary
Decimales 17 - Ordenando decimales del menor al mayor,4520b3fff6601c1fa877240acc07ab4f,Math,Spanish,Upper Primary
Decimales 18 - Ordenando decimales de menor a mayor Ejemplo 2,4520b3fff6601c1fa877240acc07b570,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 11 - Expressions with Rational Numbers,4520b3fff6601c1fa877240acc07bea0,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 12 - Exponents with Negative Bases,4520b3fff6601c1fa877240acc07cd16,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 13 - Raising a Number to the 0 and 1st Power,4520b3fff6601c1fa877240acc07dadb,Literature,English,Lower Secondary
Decimales 19 - Sumando y restando decimales Ejemplo 1,4520b3fff6601c1fa877240acc07e2a0,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 14 - Multiplying and Dividing Even and Odd Numbers of Negatives,4520b3fff6601c1fa877240acc07ede6,Literature,English,Lower Secondary
Decimales 20 - Sumando y restando decimales Ejemplo 2,4520b3fff6601c1fa877240acc07f342,Math,Spanish,Upper Primary
Decimales 21 - Sumando tres decimales,4520b3fff6601c1fa877240acc07fda4,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 16 - Thinking About the Sign of Expressions,4520b3fff6601c1fa877240acc0805ef,Math,English,Lower Secondary
Decimales 22 - Restando decimales Ejemplo 1,4520b3fff6601c1fa877240acc081459,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 15 - Patterns in Raising 1 and -1 to Different Powers,4520b3fff6601c1fa877240acc081a50,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 17 - Powers of Zero,4520b3fff6601c1fa877240acc082831,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 18 - Why Dividing by Zero is Undefined,4520b3fff6601c1fa877240acc082fb2,Math,English,Lower Secondary
Decimales 23 - Restando decimales Ejemplo 2,4520b3fff6601c1fa877240acc083bcb,Math,Spanish,Upper Primary
Decimales 24 - Ejemplo problema de suma de decimales,4520b3fff6601c1fa877240acc0845dc,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 19 - Introduction to Order of Operations,4520b3fff6601c1fa877240acc0850ea,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 20 - Order of Operations PEMDAS,4520b3fff6601c1fa877240acc085b04,Math,English,Lower Secondary
Decimales 25 - Ejemplo problema de suma y resta de decimales,4520b3fff6601c1fa877240acc085c02,Math,Spanish,Upper Primary
Negative Numbers: Multiplication and Division 21 - Order of Operations Example: Putting it All Together,4520b3fff6601c1fa877240acc085e6c,Math,English,Lower Secondary
Negative Numbers: Multiplication and Division 22 - Arithmetic Properties with Negative Numbers,4520b3fff6601c1fa877240acc086dba,Math,English,Lower Secondary
Matematicas Elementales 02 - Comparando numeros de objetos,4520b3fff6601c1fa877240acc0874f4,Math,Spanish,Lower Primary
African Storybooks - Anansi donne les histoires au monde,4520b3fff6601c1fa877240acc0881db,Literature,French,Lower Secondary
African Storybooks - Azizi la poupée,4520b3fff6601c1fa877240acc088b24,Literature,French,Lower Primary
Matematicas Elementales 01 - Numeros del 0 al 20 - Cuadricula de numeros,4520b3fff6601c1fa877240acc088eca,Math,Spanish,Lower Primary
Matematicas Elementales 03 - Comparando numeros pequenos en la recta numerica,4520b3fff6601c1fa877240acc089e4b,Math,Spanish,Lower Primary
African Storybooks - La Hyène et le Corbeau,4520b3fff6601c1fa877240acc08a2c0,Literature,French,Lower Secondary
African Storybooks - Mulongo et les hyènes,4520b3fff6601c1fa877240acc08b1a0,Literature,French,Lower Primary
African Storybooks - Le bébé éléphant est très curieux,4520b3fff6601c1fa877240acc08b8c6,Literature,French,Lower Primary
Matematicas Elementales 04 - Introduccion a la suma,4520b3fff6601c1fa877240acc08befe,Math,Spanish,"Early Education,Lower Primary"
African Storybooks - Comment la fourmi sauva la colombe,4520b3fff6601c1fa877240acc08cc64,Literature,French,Lower Primary
Matematicas Elementales 05 - Introduccion a la resta,4520b3fff6601c1fa877240acc08d761,Math,Spanish,"Early Education,Lower Primary"
African Storybooks - Le pou écrasé,4520b3fff6601c1fa877240acc08e60b,Literature,French,Lower Primary
Matematicas Elementales 06 - Ejemplo de sumar frutas,4520b3fff6601c1fa877240acc08ed6d,Math,Spanish,"Early Education,Lower Primary"
African Storybooks - Le garçon que personne n'aimait,4520b3fff6601c1fa877240acc08fa60,Literature,French,Lower Primary
African Storybooks - Ma famille et moi,4520b3fff6601c1fa877240acc09080e,Literature,French,Lower Primary
Matematicas Elementales 07 - Sumando hasta 5,4520b3fff6601c1fa877240acc09166d,Math,Spanish,"Early Education,Lower Primary"
African Storybooks - Nakitto à school,4520b3fff6601c1fa877240acc0918f3,Literature,French,Lower Primary
African Storybooks - La poule et le millepatte,4520b3fff6601c1fa877240acc091add,Literature,French,Lower Primary
"African Storybooks - La jeune fille, qui devient riche",4520b3fff6601c1fa877240acc09221d,Literature,French,Lower Primary
African Storybooks - Les aventures de super vache,4520b3fff6601c1fa877240acc09252c,Literature,French,Lower Primary
African Storybooks - La natte spéciale d'Akai,4520b3fff6601c1fa877240acc092fd6,Literature,French,Lower Primary
African Storybooks - Ma première visite du marché,4520b3fff6601c1fa877240acc094c78,Literature,French,Lower Primary
African Storybooks - Les bananes de grand-mère,4520b3fff6601c1fa877240acc0955c5,Literature,French,Lower Primary
African Storybooks - La gourde de Khayanga,4520b3fff6601c1fa877240acc095e2c,Literature,French,Lower Primary
African Storybooks - Namukhaywa (French),4520b3fff6601c1fa877240acc097494,Literature,French,Lower Primary
Cuentos de mama ganso,4520b3fff6601c1fa877240acc097ccc,Literature,Spanish,Upper Primary
"Fractions, Decimals, and Percentages 01 - Decimals to Simplified Fractions",4520b3fff6601c1fa877240acc09860e,Math,English,Lower Secondary
Las aventuras de Robinson Crusoe,4520b3fff6601c1fa877240acc09879d,Literature,Spanish,Upper Secondary
El cuervo,4520b3fff6601c1fa877240acc09888a,Literature,Spanish,Upper Secondary
"Fractions, Decimals, and Percentages 02 - Fractions to Decimals",4520b3fff6601c1fa877240acc098cca,Math,English,Lower Secondary
"Fractions, Decimals, and Percentages 03 - Fractions to Decimals Example",4520b3fff6601c1fa877240acc09a275,Math,English,Lower Secondary
"Fractions, Decimals, and Percentages 04 - Fraction to a Decimal with Rounding",4520b3fff6601c1fa877240acc09acaf,Literature,English,Lower Secondary
Matematicas Elementales 08 - Sumando hasta 10,4520b3fff6601c1fa877240acc09f7f0,Math,Spanish,"Early Education,Lower Primary"
Matematicas Elementales 12 - El valor posicional en el numero 25,4520b3fff6601c1fa877240acc09fd0d,Math,Spanish,Lower Primary
Matematicas Elementales 13 - Un ejemplo del valor posicional usando 42,4520b3fff6601c1fa877240acc0a0ae6,Math,Spanish,Lower Primary
Female Genital Cutting,4520b3fff6601c1fa877240acc0a3815,Health & Medicine,English,"Undergraduate,Graduate,Professional"
Female Genital Cutting Health Snapshot,4520b3fff6601c1fa877240acc0a41ce,Health & Medicine,Spanish,"Upper Secondary,Undergraduate,Graduate,Professional"
Introduction to Bookkeeping,4520b3fff6601c1fa877240acc0a467e,Business and Finance,English,"Lower Secondary,Upper Secondary"
More Information about Female Genital Mutilation,4520b3fff6601c1fa877240acc0c19d5,Health & Medicine,English,"Upper Secondary,Undergraduate,Graduate,Professional"
More Information about Female Genital Mutilation - Swahili,4520b3fff6601c1fa877240acc0c262f,Health & Medicine,Swahili,Professional
El forastero misterioso,4520b3fff6601c1fa877240acc0c3aeb,Literature,Spanish,Professional
Las aventuras de Huckleberry Finn,4520b3fff6601c1fa877240acc0c4479,Literature,Spanish,Professional
Las aventuras de Tom Sawyer,4520b3fff6601c1fa877240acc0c53f3,Literature,Spanish,Professional
Un yanki en la corte del Rey Arturo,4520b3fff6601c1fa877240acc0c63bc,Literature,Spanish,Professional
How to Find and Use Snipping Tool,4520b3fff6601c1fa877240acc0c8b71,Technology,English,"Early Education,Lower Primary,Upper Primary,Lower Secondary,Upper Secondary,Undergraduate,Graduate,Professional"
جلسات توعية حول حماية الطفل,4520b3fff6601c1fa877240acc0cc8de,Health & Medicine,Arabic,Professional
عشر نصائح لحماية الطفل في  فترة الازمات ,4520b3fff6601c1fa877240acc0cd2a2,Social Sciences,Arabic,Professional
عشر نصائح لحماية الطفل إثناء فترة الأزمات ,4520b3fff6601c1fa877240acc0cdb06,Social Sciences,Arabic,Professional
الاصغاء التعلم التصرف - العنف ضد الأطفال في المنزل و في المجتمع - الوقاية منه و التحرك بشانه,4520b3fff6601c1fa877240acc0cddd3,Social Sciences,Arabic,Professional
دليل التدريب - لاعداد أفلام الرسوم المتحركة,4520b3fff6601c1fa877240acc0ce3d5,Social Sciences,Arabic,Professional
دراسات استقصائية بشأن المعارف و المواقف و الممارسات المتعلقة بحماية الطفل,4520b3fff6601c1fa877240acc0cf106,Social Sciences,Arabic,Professional
عملية جمع البيانات بقيادة الأطفال,4520b3fff6601c1fa877240acc0cfcd0,Social Sciences,Arabic,Professional
ميثاق الطفل خطة عمل الحد من مخاطر الكوارث للاطفال بواسطة الأطفال,4520b3fff6601c1fa877240acc0d105f,Social Sciences,Arabic,Professional
استر إتيجيات مجتمعية للتشجيع على معرفة القرائة,4520b3fff6601c1fa877240acc0d2ac6,Learning,Arabic,Professional
دليل تنسيق تداخلات العنف القائم على النوع الأجتماعي في الأوضاع الأنسانية,4520b3fff6601c1fa877240acc0d3532,Social Sciences,Arabic,Professional
دليل الطوارى للاهالي من أجل سلامة الأطفال ,4520b3fff6601c1fa877240acc0d354a,Social Sciences,Arabic,Professional
لنعمل معا,4520b3fff6601c1fa877240acc0d438e,Learning,Arabic,Professional
تعرف حقوقك وواجباتك,4520b3fff6601c1fa877240acc0d5e3f,Social Sciences,Arabic,Professional
حقوقي! للأطفال بين ٩ و ١٥ من عمرهم,4520b3fff6601c1fa877240acc0d7f18,Learning,Arabic,Professional
حقوفي! للاطفال بين ١٦ و ١٨ من عمرهم,4520b3fff6601c1fa877240acc0d8cb7,Learning,Arabic,Professional
اشتاق إلى بيتي و فستاني الزهري,4520b3fff6601c1fa877240acc0da777,Social Sciences,Arabic,Professional
Las aventuras de Sherlock Holmes,4520b3fff6601c1fa877240acc0daef4,Literature,Spanish,"Early Education,Lower Secondary,Upper Secondary,Undergraduate,Graduate,Professional"
El patito feo,4520b3fff6601c1fa877240acc0db6f5,Literature,Spanish,"Early Education,Lower Primary"
La sombra,4520b3fff6601c1fa877240acc0db92c,Literature,Spanish,"Lower Primary,Upper Primary"
Las habichuelas magicas,4520b3fff6601c1fa877240acc0dc523,Literature,Spanish,"Early Education,Lower Primary"
El gato con botas,4520b3fff6601c1fa877240acc0e2928,Literature,Spanish,Lower Primary
A traves del espejo y lo que Alicia encontro al otro lado,4520b3fff6601c1fa877240acc0e3081,Literature,Spanish,Upper Secondary
Alicia en el pais de las maravillas,4520b3fff6601c1fa877240acc0e3ad4,Literature,Spanish,Upper Secondary
Caperucita roja,4520b3fff6601c1fa877240acc0e44aa,Literature,Spanish,Lower Primary
Blancanieves,4520b3fff6601c1fa877240acc0e4d2d,Literature,Spanish,"Early Education,Lower Primary"
La bella durmiente del bosque,4520b3fff6601c1fa877240acc0e5283,Literature,Spanish,"Early Education,Lower Primary"
La cenicienta,4520b3fff6601c1fa877240acc0e605e,Literature,Spanish,"Early Education,Lower Primary"
Barba azul,4520b3fff6601c1fa877240acc0e6270,Literature,Spanish,"Early Education,Lower Primary"
Las hadas,4520b3fff6601c1fa877240acc0e7693,Literature,Spanish,"Early Education,Lower Primary"
Fantasmagoria,4520b3fff6601c1fa877240acc0e77bd,Literature,Spanish,"Lower Secondary,Upper Secondary"
Fabulas literarias,4520b3fff6601c1fa877240acc0e8044,Literature,Spanish,"Early Education,Lower Primary"
Cuentos de los Hermanos Grimm,4520b3fff6601c1fa877240acc0e8217,Literature,Spanish,Upper Primary
Cuentos de mi Tia Panchita,4520b3fff6601c1fa877240acc0e8b97,Literature,Spanish,Lower Primary
Cuentos de Hans Christian Andersen,4520b3fff6601c1fa877240acc0e90c1,Literature,Spanish,Lower Primary
El principe feliz y otros cuentos,4520b3fff6601c1fa877240acc0e9d60,Literature,Spanish,Lower Primary
Cancion de Navidad,4520b3fff6601c1fa877240acc0ea4ad,Literature,Spanish,Lower Secondary
