title,_id,subject,language,Level
Floods and Diarrhea among Children,097e7eb5c12493e559e1a2b494b80d01,Health & Medicine,,Professional
Children Mental Health and Wellbeing in Famine,097e7eb5c12493e559e1a2b494fa5716,Human Development,English,Professional
Mobilizing School Response to Disasters,097e7eb5c12493e559e1a2b494fc9bdc,Environment,English,Professional
الكتاب اللغة العربية الصف الأول - الصومال,0a4b78c403209bfafca7223c359188f7,Languages,Arabic,Lower Primary
الكتاب اللغة العربية الصف الثالث - الصومال,0a4b78c403209bfafca7223c35febba9,Languages,Arabic,Lower Primary
The Yellow Wallpaper,0aacf3839dd9c580aff1ff0b2503d674,Agriculture,English,Early Education
Strengthening Interventions to Reduce Helminth Infections,0aacf3839dd9c580aff1ff0b25af13df,Agriculture,English,Early Education
Are You My Mother?,0aacf3839dd9c580aff1ff0b25c25f03,Human Development,English,Lower Primary
Around the World in 80 Days,0aacf3839dd9c580aff1ff0b25e51850,Agriculture,English,Upper Primary
Mathematics,0ba64ecf8ff5fd2e524c5825ef00cb2d,MAT (Math),,LP (Lower Primary)
Reading Changed My Life,0c0062a793415f111ce29d1571008031,Human Development,English,"Lower Secondary,Upper Secondary"
Catch Phrase - Open Secret,0c5ddbc929f42978284d1f6ef8780bc7,Literature,English,Upper Primary
Catch Phrase - Short Straw,0c5ddbc929f42978284d1f6ef87c4518,Learning,English,Upper Primary
Catch Phrase - Wits End,0c5ddbc929f42978284d1f6ef87f26bf,Learning,English,Upper Primary
Child Literacy ,0c5ddbc929f42978284d1f6ef88900de,Learning,English,Lower Secondary
Soil Science,0c7fd41f153da8b625c130730827e935,Agriculture,English,"Undergraduate,Graduate,Professional"
Exploring Humanitarian Issues- Module 2- Limits in Armed Conflict,0cbde79ed3cfa97a18cb2511eebb3b97,Human Development,English,Upper Secondary
Exploring Humanitarian Issues- Module 4- Dealing with Violations,0cbde79ed3cfa97a18cb2511eecbcd97,Human Development,English,Upper Secondary
Exploring Humanitarian Issues- Where do we go from here,0cbde79ed3cfa97a18cb2511eed82edd,Human Development,English,Upper Secondary
Peace Education Book,0cbde79ed3cfa97a18cb2511eeff0130,Human Development,English,Upper Secondary
Improving School Health Programs: Barriers and Strategies ,0d0c95c07894e4fa55807d4e313a1289,Health & Medicine,eng,Undergraduate
Les Miserables,0d0c95c07894e4fa55807d4e317d30d5,Literature,English,"Upper Secondary,Undergraduate,Graduate,Professional"
Peace Education Program - Facilitators and Trainers Training Guide,0d6d9b2df72788f1054f8fbcfabc7cfb,Learning,English,Professional
Peace Education Program - Manual for Training of Facilitators 1,0d6d9b2df72788f1054f8fbcfac0c628,"Human Development,Learning",English,"Undergraduate,Graduate,Professional"
African Storybooks - Lazy Little Brother,0d80f209da12d581ab50d1bc9622599a,Literature,English,Lower Primary
African Storybooks - Listen To My Body,0d80f209da12d581ab50d1bc962ab6a7,Literature,English,Lower Primary
African Storybooks - Little and Big,0d80f209da12d581ab50d1bc962efaf3,Literature,English,Lower Primary
African Storybooks - Look at the Animals,0d80f209da12d581ab50d1bc96343cb0,Literature,English,Lower Primary
African Storybooks - Mwari and the Ogre,0d80f209da12d581ab50d1bc963f24cd,Literature,English,Lower Primary
African Storybooks - My Family and I,0d80f209da12d581ab50d1bc9643d80a,Literature,English,Lower Primary
African Storybooks - Namukhaywa,0d80f209da12d581ab50d1bc9648c349,Literature,English,Lower Primary
African Storybooks - No Pigs Allowed,0d80f209da12d581ab50d1bc964cdefe,Literature,English,Upper Primary
African Storybooks - Nozibele and the Three Hairs,0d80f209da12d581ab50d1bc96523213,Literature,English,"Early Education,Lower Primary"
African Storybooks - Refiloe and the Washed Chickens,0d80f209da12d581ab50d1bc965ea4cb,Literature,English,Upper Primary
African Storybooks - Stealing,0d80f209da12d581ab50d1bc966f1562,Literature,English,Lower Primary
African Storybooks - The Boy Who Played,0d80f209da12d581ab50d1bc967e82c8,Literature,English,Lower Primary
