key	value
all	ALL
All	ALL
and	none
Arabic	Arabic
Eng	English
eng	English
English	English
english	English
fre	French
French	French
french	French
javascript	none
Nepalese	Nepalese
Sawhili	Kiswahili
som	Soomaali
Som	Soomaali
Somali	Soomaali
somali	Soomaali
spa	Spanish
spanish	Spanish
Spanish	Spanish
swa	Kiswahili
Swahili	Kiswahili
Urdu	Urdu
العربية	Arabic
