_id,kind,_rev,articleDate,author,Tag,uploadDate,openWith,title,subject,language,Level,averageRating
02250566d9671e77b01d757843e2d245,Resource,79-fe3ef0082f841bb9fa17de073d84eee8,2014-08-14T04:00:00.000Z,United States Institute of Peace,"[u'41d96d20b4c87ffd1545b6d45703501a', u'41d96d20b4c87ffd1545b6d4570241bf', u'01e0dd79c13b3f781de91b3f1e51839e']",2014-08-14T04:00:00.000Z,PDF.js,Report: Women in Global Security,[u'Social Sciences'],English,[u'Undergraduate'],
02ba2467757479a4c6c0f1615a64bf93,Resource,8-5638f9a20abb232deccfc52d6aa46777,2014-06-02T04:00:00.000Z,,[u'845ca5617e959d8a09839f5cca7935a0'],2014-06-02T04:00:00.000Z,PDF.js,التربية الاسلامية الصف السادس,[u'Religion'],Arabic,[u'Upper Primary'],
02ba2467757479a4c6c0f1615accde0e,Resource,8-3680a20f40200aef04a83ace28d54988,2014-06-02T04:00:00.000Z,,[u'845ca5617e959d8a09839f5cca7935a0'],2014-06-02T04:00:00.000Z,PDF.js,التربية الاسلامية الصف الثامن,[u'Religion'],Arabic,[u'Lower Secondary'],
038fdb78f56811eb67e54425a8f844bf,Resource,6-aa60ee0c0efa29a6eefbd62dcaa359a4,2013-03-07T05:00:00.000Z,Mawleeo,[u'2cb04e36e7836460c98d481f7e498eb2'],2014-01-10T05:00:00.000Z,Native Video,Kow ilaa Toban,[u'Math'],Somali,[u'Early Education'],
039a921b0547c9d0ba034601beffdd5d,Resource,5-f9c22077ae56fc101fbf8a6029d61367,2014-08-20T04:00:00.000Z,International Women's Rights Action Watch,"[u'cc11a4c42d45448a344819389963334d', u'41d96d20b4c87ffd1545b6d45702290d']",2014-08-20T04:00:00.000Z,PDF.js,"International Covenant on Economic, Social, Cultural Rights: A Guide",[u'Social Sciences'],English,"[u'Early Education', u'Lower Primary', u'Upper Primary', u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",
03dda987d0902d5a67adca79ae90265e,Resource,5-130311966ef0b26c0c68e4c2a2f5f43f,2014-06-02T04:00:00.000Z,,"[u'cc11a4c42d45448a3448193899622952', u'845ca5617e959d8a09839f5ccab169e4', u'4e63f2e4fa01c6e628567e96a374383d']",2014-06-02T04:00:00.000Z,PDF.js,Social Sciences 6th SA,[u'Social Sciences'],Somali,[u'Lower Secondary'],
03dda987d0902d5a67adca79aed61487,Resource,5-3ed889954239dd1dcac9f4558c11f536,2014-06-02T04:00:00.000Z,,"[u'cc11a4c42d45448a34481938996c92cb', u'4e63f2e4fa01c6e628567e96a374383d']",2014-06-02T04:00:00.000Z,PDF.js,Somali 2nd SA,[u'Languages'],Somali,[u'Lower Primary'],
04867f07cb797e610efee86ba76d0f6b,Resource,269-700930cb7fd526c32da6560dab0f09bb,2014-04-16T04:00:00.000Z,,"[u'2cb04e36e7836460c98d481f7e432192', u'3037965c2de9e2915e2ad751cfa31dfc', u'2cb04e36e7836460c98d481f7ea6dfd8', u'01e0dd79c13b3f781de91b3f1e042fc2']",2014-04-16T04:00:00.000Z,PDF.js,Sixth Grade Health Standard,[u'Agriculture'],English,[u'Lower Secondary'],
04867f07cb797e610efee86ba7d7dbf9,Resource,7-7c077d5109de9d106a775e3a7330a6ae,2014-04-16T04:00:00.000Z,,"[u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'3037965c2de9e2915e2ad751cfa31dfc', u'2cb04e36e7836460c98d481f7ea6dfd8']",2014-04-16T04:00:00.000Z,PDF.js,Age-Appropriate Education Strategies to Promote Healthy Eating,[u'Agriculture'],English,[u'Upper Secondary'],
04867f07cb797e610efee86ba7f19042,Resource,6-497b7dc8c4fec745a03c2038848dd8c9,2014-04-16T04:00:00.000Z,,"[u'3037965c2de9e2915e2ad751cfa31dfc', u'1de97ab43cf23df1f0b786f99113c2a7', u'41d96d20b4c87ffd1545b6d4570260d0']",2014-04-16T04:00:00.000Z,PDF.js,Arguments people use against using condoms,[u'Health & Medicine'],English,"[u'Lower Primary', u'Upper Primary', u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",
04867f07cb797e610efee86ba7fdb747,Resource,7-1d443238dd77d57f8638beb5111ec448,2014-04-16T04:00:00.000Z,,"[u'41d96d20b4c87ffd1545b6d4570222ca', u'3037965c2de9e2915e2ad751cfa31dfc', u'eb711b7a5c824aa8079d06d1816f874b']",2014-04-16T04:00:00.000Z,PDF.js,Assembling a Community Advisory Commitee,[u'Agriculture'],English,[u'Professional'],
04a159e6e1f1bde124447fd51f6d2d5d,Resource,9-b0136c37715d88813ae3a1ea990f9fb4,2014-01-31T05:00:00.000Z,Healthy Roads,[u'2cb04e36e7836460c98d481f7e432192'],2014-01-31T05:00:00.000Z,PDF.js,Pain Chart,[u'Health & Medicine'],English,[u'Early Education'],
04a159e6e1f1bde124447fd51f7bbec4,Resource,9-7b231176532d302b4bf29eae75f0ddbd,2014-01-31T05:00:00.000Z,MN Department of Health,"[u'2cb04e36e7836460c98d481f7e432192', u'cc11a4c42d45448a3448193899ab815b']",2014-01-31T05:00:00.000Z,PDF.js,TB Disease,[u'Health & Medicine'],English,[u'Early Education'],
04a159e6e1f1bde124447fd51fae54b8,Resource,9-47368f3e7a90d31bed7a9a925bb8b4d5,2014-01-31T05:00:00.000Z,US Department of Health,"[u'2cb04e36e7836460c98d481f7e432192', u'cc11a4c42d45448a3448193899ab815b']",2014-01-31T05:00:00.000Z,PDF.js,The Flu (information),[u'Health & Medicine'],English,[u'Early Education'],
04a159e6e1f1bde124447fd51fc1bc32,Resource,8-f20dff5cc4dbbc78d11ec0bd4312e207,2014-01-31T05:00:00.000Z,Refugee Health Information Network,None,2014-01-31T05:00:00.000Z,PDF.js,Cold Sores,[u'Agriculture'],English,[u'Early Education'],
04a159e6e1f1bde124447fd51fe695fc,Resource,8-b0477e907ec5723d8365cbc8abcc8a40,2014-01-31T05:00:00.000Z,,None,2014-01-31T05:00:00.000Z,PDF.js,Cover Your Cough Poster,[u'Agriculture'],English,[u'Early Education'],
04a159e6e1f1bde124447fd51ffbe490,Resource,7-95dd7da4a9178da7ce6b447205d035d2,2014-01-31T05:00:00.000Z,MN Department of Health,Non Fiction,2014-01-31T05:00:00.000Z,PDF.js,Pregnancy Nutrition Information,HMD (Health & Medicine),English,All,
04c41ed6c9b47c8c55bedbabd096128b,Resource,5-3cc198dc2ed2cb19451762343b457da5,2014-08-11T04:00:00.000Z,Denny Burzynski,"[u'2cb04e36e7836460c98d481f7e3fae68', u'cc11a4c42d45448a344819389961ea30', u'cc11a4c42d45448a344819389961c84f']",2014-08-11T04:00:00.000Z,PDF.js,Algebra Review Textbook,[u'Math'],English,[u'Upper Secondary'],
05160870439e6934d49688507f006700,Resource,3-1a890d485dda874c12cdb579b26b96b6,2015-10-26T04:00:00.000Z,Joey Gedgaud,"[u'41d96d20b4c87ffd1545b6d457033c8d', u'6139f2806e3fe840133b2fbc422ca1e7']",2015-10-26T04:00:00.000Z,Flow Video Player,Quick Guide to Creating a Marketing Plan for Your Small Business,[u'Business and Finance'],English,[u'Upper Secondary'],
05160870439e6934d49688507f007568,Resource,2-ef394c0e61fc30fca1ca0a0da5406389,2015-10-26T04:00:00.000Z,Joey Gedgaud,[u'6139f2806e3fe840133b2fbc422ca1e7'],2015-10-26T04:00:00.000Z,Flow Video Player,How to Grow Your Small Business Using Social Media and Become Successful,[u'Business and Finance'],English,[u'Upper Secondary'],
05275f41bb3e4fb3c90b4fef0b279dcf,Resource,5-2107b1ed7dee2200475a3d0d7d41076e,2014-06-30T04:00:00.000Z,,"[u'845ca5617e959d8a09839f5ccab57080', u'2cb04e36e7836460c98d481f7e7aff19', u'cc11a4c42d45448a34481938995eb49d']",2014-06-30T04:00:00.000Z,PDF.js,Encyclopædia Britannica 11 ed. Vol. 29 (Index to List of contributors),[u'Reference'],eng,"[u'Early Education', u'Lower Primary', u'Upper Primary', u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",
05d8e3cb608f8e6df367af3105104320,Resource,61-b620252b8fe8540b8957a8e5db3f12f1,2014-08-20T04:00:00.000Z,GirlRising,"[u'41d96d20b4c87ffd1545b6d45703504c', u'cc11a4c42d45448a344819389963334d', u'01e0dd79c13b3f781de91b3f1e51839e', u'41d96d20b4c87ffd1545b6d45702290d']",2014-08-20T04:00:00.000Z,PDF.js,Female Trafficking: Discussion,[u'Social Sciences'],English,[u'Upper Secondary'],
0619e48e39b2730cb592043af6e517ff,Resource,9-ba7c6d53989c0b46e451671222707160,2014-02-11T05:00:00.000Z,Johns Hopkins Center for Communication Programs (CCP) in partnership with USAID,[u'2cb04e36e7836460c98d481f7e81309b'],2014-02-11T05:00:00.000Z,PDF.js,Fun With Community Mobilization,[u'Human Development'],English,[u'Early Education'],
0638d80e556e13e60d95090866d330c4,Resource,8-49686597fac0b432e31ad73960b15c38,2014-06-30T04:00:00.000Z,University of Cambridge,"[u'cc11a4c42d45448a34481938995eb49d', u'845ca5617e959d8a09839f5ccab57080', u'2cb04e36e7836460c98d481f7e7aff19']",2014-06-30T04:00:00.000Z,PDF.js,"Encyclopædia Britannica 11 ed. Vol. 19 (Mun, Adrien Albert Marie de to Oddfellows, Order of)",[u'Reference'],English,[u'Professional'],
06614a1fa7945771301fbde5cdc9baf2,Resource,11-1c6e8be7fe5575b944d9fc718658ae90,2014-03-30T04:00:00.000Z,State Department,[u'41d96d20b4c87ffd1545b6d45702290d'],2014-03-30T04:00:00.000Z,Flow Video Player,African Women Profiles Erica Williams,[u'Human Development'],eng,[u'Early Education'],
076ab6579c21cefbe330ce5c1930a21d,Resource,6-08ba6b96bdb0e0abdd11681d97178178,2014-04-14T04:00:00.000Z,John Camden Hotten,"[u'cc11a4c42d45448a34481938995eb49d', u'41d96d20b4c87ffd1545b6d45701f6bb']",2014-04-14T04:00:00.000Z,PDF.js,"The Slang Dictionary: Etymological, Historical and Anecdotal",[u'Agriculture'],English,[u'Early Education'],
076ab6579c21cefbe330ce5c1962b86a,Resource,288-a0506652a3a84698b0d951a3e31ea3c6,2014-04-14T04:00:00.000Z,George Orwell,"[u'41d96d20b4c87ffd1545b6d457023fca', u'01e0dd79c13b3f781de91b3f1e2da5e7']",2014-04-14T04:00:00.000Z,PDF.js,1984 (Spanish),[u'Literature'],Spanish,[u'Upper Secondary'],
076ab6579c21cefbe330ce5c1969b718,Resource,27-991e809ad78b6e0376792409a7d41e2c,2014-04-13T04:00:00.000Z,,[u'845ca5617e959d8a09839f5cca85bc92'],2014-04-13T04:00:00.000Z,Flow Video Player,Badger's Parting Gifts,[u'Literature'],,[u'Early Education'],
076ab6579c21cefbe330ce5c19d166e6,Resource,152-9735a3827bdd4d4de46a7b808a2dd41a,2014-04-14T04:00:00.000Z,,"[u'0fcf245af7ca2d6d14c9f967bf36e3fc', u'845ca5617e959d8a09839f5cca7beb79', u'2cb04e36e7836460c98d481f7e473bf5', u'41d96d20b4c87ffd1545b6d45702290d']",2014-04-14T04:00:00.000Z,Flow Video Player,A Collection of Episodes: Burka Avenger (English Subtitles),"[u'Human Development', u'Languages', u'Learning']","Urdu, English",[u'Lower Primary'],
07771fa91355586f620c1bf1f6d0c4dc,Resource,43-24145b0e9e6924c633d069d3e58c1a05,2014-08-06T04:00:00.000Z,"Joe Chaffin, MD","[u'41d96d20b4c87ffd1545b6d4570332c7', u'2cb04e36e7836460c98d481f7e432192', u'a04783680f8268e1642340d719ede4eb', u'f1cedaf7528a34ddd5c5ad00fe5fa9cd']",2014-08-06T04:00:00.000Z,Flow Video Player,Transfusion-transmitted Diseases_ Video,[u'Health & Medicine'],English,[u'Professional'],
07c2f492eec8debccd0bd335b0ea4345,Resource,61-c84d1c6262ae82e54dbd6dd7fad5611d,2014-08-20T04:00:00.000Z,Because I am a Girl,"[u'41d96d20b4c87ffd1545b6d45703504c', u'41d96d20b4c87ffd1545b6d45702290d']",2014-08-20T04:00:00.000Z,PDF.js,End Child Marriage report (en),[u'Social Sciences'],English,[u'Professional'],
07c2f492eec8debccd0bd335b0f6fc8c,Resource,54-b136ed120c8e8a84f6d8d16c95405cc7,2014-08-20T04:00:00.000Z,Katya Johns,"[u'41d96d20b4c87ffd1545b6d45703504c', u'cc11a4c42d45448a344819389963334d', u'01e0dd79c13b3f781de91b3f1e51839e', u'41d96d20b4c87ffd1545b6d45702290d']",2014-08-20T04:00:00.000Z,PDF.js,NGOs for Women,[u'Social Sciences'],English,[u'Professional'],
07c60487d5ffdb1cc79d896cd6c5f793,Resource,2-8a35d47e2742debacedd0ea60a159076,2014-09-16T04:00:00.000Z,Maxamed Ibraahin Warsame 'Hadraawi',[u'845ca5617e959d8a09839f5ccad3e02e'],2014-09-16T04:00:00.000Z,MP3,Sirta Nolosha- Life's Essence Poem,[u'Languages'], English ,"[u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",
07c60487d5ffdb1cc79d896cd6ca6d7d,Resource,4-cbf2afc743f718aa33ef598cf070be35,2014-09-16T04:00:00.000Z,Maxamed Ibraahin Warsame 'Hadraawi',[u'845ca5617e959d8a09839f5ccad3e02e'],2014-09-16T04:00:00.000Z,PDF.js,Sirta Nolosha- Lifes Essence Poem,[u'Languages'],Somali and English ,"[u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",
082526b6e113ae6c91ce34489270d424,Resource,6-82674eba111427383b3ec9cdb4bde23b,2014-07-22T04:00:00.000Z,Martha Ruttle,"[u'bfc73c98f8b60ff39111e51e640078c5', u'2cb04e36e7836460c98d481f7e3fae68']",2014-07-22T04:00:00.000Z,PDF.js,Blackline Bridges in Math Grade 5 Practice Book,[u'Math'],English,[u'Lower Secondary'],
08BehindBlueEyes,Resource,12-b09933ed2c9b546a25dee6062b54b561,2013-06-03T04:00:00.000Z,The Who,"[u'cc11a4c42d45448a3448193899aab654', u'845ca5617e959d8a09839f5cca873e67', u'01e0dd79c13b3f781de91b3f1e091ad6', u'845ca5617e959d8a09839f5cca8750be']",2013-06-03T04:00:00.000Z,MP3,Music: The Who - My Generation,[u'Music'],English,[u'Early Education'],
08ca8e19dd797f1d39babd4f56403480,Resource,5-c2b7cd940551ced596df6deff9bae4d4,2014-07-17T04:00:00.000Z,,"[u'2cb04e36e7836460c98d481f7e8777e2', u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'2cb04e36e7836460c98d481f7e432192', u'845ca5617e959d8a09839f5ccaf6a69b']",2014-07-17T04:00:00.000Z,PDF.js,Food Safety Pre and Post Test,[u'Food and Nutrition'],English,[u'Upper Secondary'],
08ca8e19dd797f1d39babd4f56562cb1,Resource,6-1664ea12a01c1a885a04a3e6aaf1047a,2014-07-17T04:00:00.000Z,,"[u'2cb04e36e7836460c98d481f7e8777e2', u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'2cb04e36e7836460c98d481f7e432192', u'3037965c2de9e2915e2ad751cfa31dfc', u'845ca5617e959d8a09839f5ccaf6a69b']",2014-07-17T04:00:00.000Z,PDF.js,Food Safety Word Search Puzzle,[u'Food and Nutrition'],English,[u'Upper Primary'],
08ca8e19dd797f1d39babd4f56664305,Resource,6-72e72ee3f44b9c2887d7f904aa008d06,2014-07-17T04:00:00.000Z,,"[u'2cb04e36e7836460c98d481f7e8777e2', u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'2cb04e36e7836460c98d481f7e432192', u'3037965c2de9e2915e2ad751cfa31dfc', u'845ca5617e959d8a09839f5ccaf6a69b', u'2cb04e36e7836460c98d481f7ea6dfd8']",2014-07-17T04:00:00.000Z,PDF.js,My Plate- Fill in the blank- Answers,[u'Food and Nutrition'],English,[u'Lower Secondary'],
08ca8e19dd797f1d39babd4f56698921,Resource,6-70685e76a463f43ac3e74fadfd2facf8,2014-07-17T04:00:00.000Z,,"[u'2cb04e36e7836460c98d481f7e8777e2', u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'2cb04e36e7836460c98d481f7e432192', u'3037965c2de9e2915e2ad751cfa31dfc', u'845ca5617e959d8a09839f5ccaf6a69b', u'2cb04e36e7836460c98d481f7ea6dfd8']",2014-07-17T04:00:00.000Z,PDF.js,My Plate- Fill in the blank,[u'Food and Nutrition'],English,[u'Lower Secondary'],
08ca8e19dd797f1d39babd4f566baed1,Resource,6-62704ad0889edf99b31a162015e6ec8c,2014-07-17T04:00:00.000Z,,"[u'2cb04e36e7836460c98d481f7e8777e2', u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'2cb04e36e7836460c98d481f7e432192', u'3037965c2de9e2915e2ad751cfa31dfc', u'2cb04e36e7836460c98d481f7ea6dfd8']",2014-07-17T04:00:00.000Z,PDF.js,My Plate,[u'Food and Nutrition'],English,[u'Upper Primary'],
08ca8e19dd797f1d39babd4f566ebbd2,Resource,6-92047de789cc26731e4a4fcbf0b3a375,2014-07-17T04:00:00.000Z,,"[u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'2cb04e36e7836460c98d481f7e432192', u'3037965c2de9e2915e2ad751cfa31dfc', u'2cb04e36e7836460c98d481f7e8777e2']",2014-07-17T04:00:00.000Z,PDF.js,Your Heart Loves Food From the Food Pyramid,[u'Food and Nutrition'],English,[u'Upper Primary'],
097e7eb5c12493e559e1a2b494b80d01,Resource,43-7d5a214bccda65a4f346ea197db53d95,2014-08-27T04:00:00.000Z,Global Health Action,"[u'41d96d20b4c87ffd1545b6d4570358bd', u'845ca5617e959d8a09839f5ccaaa3475', u'cc11a4c42d45448a34481938996f4418']",2014-08-27T04:00:00.000Z,PDF.js,Floods and Diarrhea among Children,[u'Health & Medicine'],,[u'Professional'],
097e7eb5c12493e559e1a2b494fa5716,Resource,43-65e0cca66fd37613ab28d89c5333edae,2014-08-27T04:00:00.000Z,,"[u'cc11a4c42d45448a3448193899ff7631', u'845ca5617e959d8a09839f5ccaaa3475', u'bcc3e762cbc7f67f63f87b589cbc215b', u'2cb04e36e7836460c98d481f7e8777e2', u'2cb04e36e7836460c98d481f7e8746a8']",2014-08-27T04:00:00.000Z,PDF.js,Children Mental Health and Wellbeing in Famine,[u'Human Development'],English,[u'Professional'],
097e7eb5c12493e559e1a2b494fc9bdc,Resource,33-6ee458691c04f63f3e84a4eeddb23270,2014-08-27T04:00:00.000Z,UNICEF-Canada,"[u'41d96d20b4c87ffd1545b6d4570358bd', u'845ca5617e959d8a09839f5ccaaa3475']",2014-08-27T04:00:00.000Z,PDF.js,Mobilizing School Response to Disasters,[u'Environment'],English,[u'Professional'],
0a4b78c403209bfafca7223c359188f7,Resource,12-815e31bd2056ac7b43da2ea54b2de4dd,2014-06-02T04:00:00.000Z,,[u'cc11a4c42d45448a3448193899747666'],2014-06-02T04:00:00.000Z,PDF.js,الكتاب اللغة العربية الصف الأول - الصومال,[u'Languages'],Arabic,[u'Lower Primary'],
0a4b78c403209bfafca7223c35febba9,Resource,11-92423ec698e082b9dc2794d0dd087bd7,2014-06-02T04:00:00.000Z,,[u'cc11a4c42d45448a3448193899747666'],2014-06-02T04:00:00.000Z,PDF.js,الكتاب اللغة العربية الصف الثالث - الصومال,[u'Languages'],Arabic,[u'Lower Primary'],
0aacf3839dd9c580aff1ff0b2503d674,Resource,6-e72e79e0dd49c113c4514e4a543c1b46,2014-04-15T04:00:00.000Z,Charlotte Perkins Gilman,[u'0fcf245af7ca2d6d14c9f967bf36e3fc'],2014-04-15T04:00:00.000Z,PDF.js,The Yellow Wallpaper,[u'Agriculture'],English,[u'Early Education'],
